Day,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,S23° 04',S17° 20',S7° 49',N4° 18',N14° 54',N21° 58',N23° 09',N18° 10',N8° 30',S2° 57',S14° 14',S21° 43'
2,S22° 59',S17° 03',S7° 26',N4° 42',N15° 12',N22° 06',N23° 05',N17° 55',N8° 09',S3° 20',S14° 34',S21° 52'
3,S22° 54',S16° 46',S7° 03',N5° 05',N15° 30',N22° 14',N23° 01',N17° 40',N7° 47',S3° 44',S14° 53',S22° 01'
4,S22° 48',S16° 28',S6° 40',N5° 28',N15° 47',N22° 22',N22° 56',N17° 24',N7° 25',S4° 07',S15° 11',S22° 10'
5,S22° 42',S16° 10',S6° 17',N5° 51',N16° 05',N22° 29',N22° 51',N17° 08',N7° 03',S4° 30',S15° 30',S22° 18'
6,S22° 36',S15° 52',S5° 54',N6° 13',N16° 22',N22° 35',N22° 45',N16° 52',N6° 40',S4° 53',S15° 48',S22° 25'
7,S22° 28',S15° 34',S5° 30',N6° 36',N16° 39',N22° 42',N22° 39',N16° 36',N6° 18',S5° 16',S16° 06',S22° 32'
8,S22° 21',S15° 15',S5° 07',N6° 59',N16° 55',N22° 47',N22° 33',N16° 19',N5° 56',S5° 39',S16° 24',S22° 39'
9,S22° 13',S14° 56',S4° 44',N7° 21',N17° 12',N22° 53',N22° 26',N16° 02',N5° 33',S6° 02',S16° 41',S22° 46'
10,S22° 05',S14° 37',S4° 20',N7° 43',N17° 27',N22° 58',N22° 19',N15° 45',N5° 10',S6° 25',S16° 58',S22° 52'
11,S21° 56',S14° 18',S3° 57',N8° 07',N17° 43',N23° 02',N22° 11',N15° 27',N4° 48',S6° 48',S17° 15',S22° 57'
12,S21° 47',S13° 58',S3° 33',N8° 28',N17° 59',N23° 07',N22° 04',N15° 10',N4° 25',S7° 10',S17° 32',S23° 02'
13,S21° 37',S13° 38',S3° 10',N8° 50',N18° 14',N23° 11',N21° 55',N14° 52',N4° 02',S7° 32',S17° 48',S23° 07'
14,S21° 27',S13° 18',S2° 46',N9° 11',N18° 29',N23° 14',N21° 46',N14° 33',N3° 39',S7° 55',S18° 04',S23° 11'
15,S21° 16',S12° 58',S2° 22',N9° 33',N18° 43',N23° 17',N21° 37',N14° 15',N3° 16',S8° 18',S18° 20',S23° 14'
16,S21° 06',S12° 37',S1° 59',N9° 54',N18° 58',N23° 20',N21° 28',N13° 56',N2° 53',S8° 40',S18° 35',S23° 17'
17,S20° 54',S12° 16',S1° 35',N10° 16',N19° 11',N23° 22',N21° 18',N13° 37',N2° 30',S9° 02',S18° 50',S23° 20'
18,S20° 42',S11° 55',S1° 11',N10° 37',N19° 25',N23° 24',N21° 08',N13° 18',N2° 06',S9° 24',S19° 05',S23° 22'
19,S20° 30',S11° 34',S0° 48',N10° 58',N19° 38',N23° 25',N20° 58',N12° 59',N1° 43',S9° 45',S19° 19',S23° 24'
20,S20° 18',S11° 13',S0° 24',N11° 19',N19° 51',N23° 26',N20° 47',N12° 39',N1° 20',S10° 07',S19° 33',S23° 25'
21,S20° 05',S10° 52',0° 00',N11° 39',N20° 04',N23° 26',N20° 36',N12° 19',N0° 57',S10° 29',S19° 47',S23° 26'
22,S19° 52',S10° 30',N0° 24',N12° 00',N20° 16',N23° 26',N20° 24',N11° 59',N0° 33',S10° 50',S20° 00',S23° 26'
23,S19° 38',S10° 08',N0° 47',N12° 20',N20° 28',N23° 26',N20° 12',N11° 39',N0° 10',S11° 12',S20° 13',S23° 26'
24,S19° 24',S9° 46',N1° 11',N12° 40',N20° 39',N23° 25',N20° 00',N11° 19',S0° 14',S11° 33',S20° 26',S23° 26'
25,S19° 10',S9° 24',N1° 35',N13° 00',N20° 50',N23° 24',N19° 47',N10° 58',S0° 37',S11° 54',S20° 38',S23° 25'
26,S18° 55',S9° 02',N1° 58',N13° 19',N21° 01',N23° 23',N19° 34',N10° 38',S1° 00',S12° 14',S20° 50',S23° 23'
27,S18° 40',S8° 39',N2° 22',N13° 38',N21° 12',N23° 21',N19° 21',N10° 17',S1° 24',S12° 35',S21° 01',S23° 21'
28,S18° 25',S8° 17',N2° 45',N13° 58',N21° 22',N23° 19',N19° 08',N9° 56',S1° 47',S12° 55',S21° 12',S23° 19'
29,S18° 09',S8° 03',N3° 09',N14° 16',N21° 31',N23° 16',N18° 54',N9° 35',S2° 10',S13° 15',S21° 23',S23° 16'
30,S17° 53',N3° 32',N14° 35',N21° 41',N23° 13',N18° 40',N9° 13',S2° 34',S13° 35',S21° 33',S23° 12'
31,S17° 37',,N3° 55',,N21° 50',,N18° 25',N8° 52',,S13° 55',,S23° 08'
